gender,count,gender_clean
NA,18473,
male,665,M
м,393,M
М,360,M
M,323,M
ж,299,F
female,221,F
мужской,205,M
m,201,M
Male,188,M
муж,186,M
женский,170,F
Ж,135,F
Мужской,99,M
жен,88,F
f,83,F
F,41,F
man,35,M
Муж,28,M
мужик,28,M
Female,25,F
муж.,21,M
жен.,17,F
Женский,16,F
прекрасный,12,F
Мужик,11,M
Мэ,11,M
girl,10,F
Man,9,M
девушка,9,F
паркетный,9,M
mail,8,M
мужчина,8,M
femme,7,F
w,7,F
жо,7,F
мэ,7,M
Жен,6,F
Жо,6,F
Муж.,6,M
Мужчина,6,M
эм,6,M
есть,5,
МУЖ,5,M
мужеский,5,M
паркет,5,
сильный,5,M
слабый,5,F
femail,4,F
MALE,4,M
men,4,M
А какая разница?,4,
девочка,4,F
жж,4,F
му,4,M
правильный,4,
1,3,
fem,3,F
masculin,3,M
moon,3,
деревянный,3,
ж.,3,F
женщина,3,F
жэ,3,F
лучший,3,
м.,3,M
мале,3,M
мальчик,3,M
Мальчик,3,M
он,3,M
Он,3,M
Паркет,3,
Прекрасный,3,F
самец,3,M
Сильный,3,M
хз,3,
;),2,
:),2,
/\/\,2,
Advanced,2,
g,2,F
Gentleman,2,M
homme,2,M
lady,2,F
macho,2,M
Mail,2,M
mann,2,M
masculine,2,M
muchacha,2,M
none,2,
девачка,2,F
девчОнка,2,F
ебанько,2,
жiгiт,2,
жё,2,F
Жен.,2,F
женскей,2,F
женственный,2,F
Жжж,2,F
замужем,2,
красивый,2,
Линолеум,2,
М.,2,M
м(аккартни),2,M
мale,2,M
Маг,2,M
мж,2,
Муж (male),2,M
Мужицкий,2,M
мужск,2,M
мужчинка,2,M
мужык,2,M
мужЫк,2,M
МЭ,2,M
мэн,2,M
неко,2,
Оно,2,
Робот.,2,
средний,2,
Средний,2,
фемале,2,F
х,2,
Ъ,2,
Эм,2,M
-кило,1,
;,1,
;tycrbq,1,
?,1,
? ;),1,
".,.",1,
(.)(.),1,
(ж),1,
(М),1,
)|(,1,
/user/upload/js/9081.js,1,
/X\,1,
&#30007;,1,
|\r|,1,
|v|,1,
11,1,
1100101001,1,
15 см,1,
2 times a day,1,
2М,1,
A MAN,1,
A[irplane],1,
advance,1,
ANONYMOUS,1,
beautiful,1,
Bender,1,
BIGMAN,1,
bot,1,
Bot,1,
Boy,1,
bu,1,
buy-side,1,
c,1,
carpet,1,
cattle,1,
Cheetah,1,
chica,1,
click to view,1,
cyborg (male),1,
De marbre,1,
DROP IT ON ME !,1,
Duck,1,
elf,1,
evil,1,
fe,1,
Fem,1,
female (night elf),1,
Female блин,1,
feminine,1,
Femme,1,
fm,1,
Frau,1,
Garson,1,
gender,1,
gentleman,1,
Gfwfycrbq,1,
Girl,1,
gm,1,
Golf,1,
Herr,1,
i,1,
"I'm a good girl, am I?!",1,
I'm a man,1,
I'm a MAN ! Oh yeah !,1,
ID.,1,
indefinite,1,
It,1,
J,1,
kiborg,1,
kindred,1,
kona,1,
kupo,1,
l'homme,1,
la femme,1,
lady J,1,
Le Male,1,
M (mature),1,
M.,1,
madkroz,1,
magic,1,
mal,1,
Male (28),1,
Male (kishi),1,
Male 25,1,
male(муж),1,
male(МУЖЧИНА),1,
male|active,1,
MAN,1,
man( extremally heterosexual),1,
maniac,1,
Mann,1,
mega,1,
mely,1,
Mescaline,1,
mevrouw,1,
MG,1,
ml,1,
mmm,1,
MMM,1,
Mr,1,
MRAMORNIY NA !,1,
MRRR,1,
mujer,1,
multiplex,1,
Musculine,1,
Mutant,1,
Myzhiiiik!!!,1,
MЕЙЛ,1,
Mуж,1,
n,1,
N,1,
neutral,1,
night,1,
no,1,
nop,1,
not specified,1,
O-->,1,
O->,1,
omega-male,1,
optional,1,
oriental boy,1,
Otlichnyi,1,
otoko,1,
parketniy,1,
patsan,1,
PhD,1,
"Pol kak pol, ne zaluus'",1,
q,1,
qwe,1,
real male,1,
retired,1,
rnale,1,
s,1,
sex,1,
she,1,
shemale,1,
signora,1,
Since birth - man. Didn't change.,1,
sir,1,
straight,1,
Strong man,1,
sverhu,1,
The best,1,
True,1,
two times a week,1,
V,1,
Virgin,1,
W,1,
weiblich,1,
woman,1,
women,1,
WWWWWWWWWWWWWWWW,1,
x,1,
X,1,
XY,1,
XZ,1,
Y,1,
yes,1,
young black male,1,
zdmale,1,
ze,1,
ZH,1,
а Вы как думаете?,1,
а то по нику непонятно :),1,
А ты как думаешь:)?,1,
адамов,1,
Афроамерикан.,1,
ахз,1,
б,1,
Б (по Задорнову),1,
баба,1,
безпоанах,1,
Бесполый,1,
биомеханоиды бесполы :(,1,
ближе к мужскому,1,
бот,1,
Будет время - решу.,1,
в зависимости от контекста,1,
"в наличии, а как же)",1,
вареник,1,
вася,1,
вертолёт,1,
ВЖЫК,1,
вздувшийся,1,
виртуальный,1,
"Вообще-то Ж, но можете проголосовать (в биографии)",1,
вполне определенный:)),1,
все хороши,1,
второй,1,
выrасту - upридилюсь.,1,
выбираю,1,
Вырастет - само решит,1,
Высшее Существо,1,
г,1,
Г,1,
Гамер,1,
ГЕНДЕР !!11,1,
герл,1,
герла,1,
Гермафродит,1,
Гестаповец,1,
ГЗ,1,
Гражданин Советов,1,
Гулькин,1,
дiвчина,1,
да,1,
Да,1,
да!,1,
Двупольное,1,
де,1,
Дев,1,
девАчка,1,
девичий,1,
Девочка,1,
девочка-ромашка,1,
Девушка,1,
девчушка,1,
Дефачка,1,
деффачка,1,
джентельмен,1,
для сумневающихся: Жё!,1,
Дубовый,1,
дура,1,
дядька,1,
дядя,1,
ё,1,
"естественно, паркетный",1,
есть болт,1,
ещё не выяснен,1,
еще не определен,1,
Ещё не определился,1,
ж ;),1,
ж :),1,
Ж (жентельменский),1,
Ж (Жентльменский),1,
ж =),1,
ж-АЖА ЧОЧО,1,
Ж-ж-ж-ж!!!!,1,
"Ж, и это правда!",1,
Ж:),1,
Ж.елезобетонный =),1,
ж))),1,
Ж\F,1,
Же,1,
Жё,1,
ЖЁ,1,
же),1,
Железо,1,
Жена,1,
женат,1,
женсикй конечно,1,
жёнский,1,
женский пол,1,
"женский пол, если кому не ясно",1,
женский))),1,
женщина за рулем,1,
ЖЖЖ,1,
жжжж,1,
ЖЖЖж,1,
Жжжжж,1,
жжжжжж,1,
жжЖЖЖЖ,1,
жжжжжжжжж,1,
жжжжжжжжжж,1,
ЖО,1,
жо))),1,
жОнский,1,
жужек,1,
ЖЭ,1,
жэнщина,1,
замечательный,1,
зверь,1,
и потолок,1,
Инвалид,1,
интересный..,1,
искуситель,1,
Йа вантуЦ,1,
К,1,
квадратный,1,
клёвый,1,
Кобель,1,
ковролиновый,1,
КОМНАТА,1,
кот,1,
Кот,1,
Кот-мужиК,1,
кошачий,1,
красная девица,1,
Кремниевый,1,
леди,1,
линол.,1,
линолиум,1,
линолиум с ковриком,1,
литра,1,
люблю поцанов,1,
М (а вы как думали?),1,
М (Ахтунговый),1,
М (мадамский),1,
М-м,1,
"М, ессесно",1,
"м, ж",1,
"М, хотя иногда Ж ))",1,
м:),1,
М!,1,
М?,1,
М(яу),1,
М+,1,
М+Ж,1,
М25,1,
Мale,1,
Мадама,1,
мадамский,1,
Маккартни,1,
маккартни. полчаса. паркет.,1,
Мале,1,
малчик,1,
малчык,1,
мальчишка,1,
манах,1,
Ме,1,
МЕ,1,
"Между прочим, mademoiselle ©",1,
мейл,1,
мелкий рогатый скот,1,
МмМ,1,
МММ,1,
Ммммм....,1,
Мо!,1,
молодец,1,
молчел,1,
мраморный,1,
МРАМОРНЫЙ,1,
МуЖ,1,
муж (male),1,
Муж. (Male),1,
"Муж., но не муж",1,
"муж.,жен.",1,
Мужеска полу,1,
мужественный,1,
Мужественный,1,
МУЖЖ,1,
Мужжж,1,
мужиг,1,
МУЖИК,1,
мужик (с),1,
мужик я,1,
"Мужик, мля",1,
мужик))),1,
мужицкий,1,
мужичок,1,
мужлан,1,
мужск.,1,
Мужское,1,
МУЖской,1,
мужской (male),1,
мужской пол,1,
мужской у меня,1,
"мужской, вроде бы",1,
"мужской, обыкновенный, одна штука",1,
"мужской, просто ник прикольный...",1,
"мужской, ясно дело)",1,
мужсой,1,
мужчин,1,
"Мужчина-натурал, и почти гомофоб.",1,
мужчино.,1,
